"","DestinationCity","OriginCity","AirlineStatus","Age","Gender","PriceSensitivity","YearOfFirstFlight","FLightsPerYear","Loyalty","TypeOfTravel","TotalFreqFlyAccount","ShoppingAmount","FoodExpenses","Class","FlightDate","PartnerCode","ScheduleDepHour","DepartureDelayInMin","ArrivalDelayInMin","FlightCancelled","FlightDuration","Distance","LikelihoodRecommendScore","OriginLong","OriginLat","DestLong","DestLat","DestinationState","OriginState"
"1898","Salt Lake City","Houston","Blue",69,"Male",1,2010,31,-0.6316,"Business travel",0,0,0,"Eco","2/13/14","EV",14,0,13,"No",195,1195,1,-95.3935,29.7843,-111.9295,40.6408,"UT","TX"
"1899","Phoenix","Denver","Blue",19,"Male",1,2006,23,-0.6429,"Mileage tickets",2,0,1,"Eco","1/26/14","WN",12,1,0,"No",86,602,8,-104.9551,39.7108,-111.97,33.4941,"AZ","CO"
"1900","Charlotte","Los Angeles","Silver",61,"Male",1,2006,35,-0.6279,"Business travel",0,0,60,"Eco","3/31/14","US",13,0,0,"No",239,2125,9,-118.1043,33.9827,-80.8158,35.2497,"NC","CA"
"1901","Boston","New York","Blue",27,"Female",1,2009,24,-0.0667,"Mileage tickets",3,45,110,"Eco Plus","2/27/14","B6",10,0,0,"No",40,187,9,-73.9702,40.7184,-71.1407,42.3731,"MA","NY"
"1902","Bangor","New York","Silver",36,"Female",1,2011,17,-0.7895,"Business travel",0,5,45,"Eco","2/9/14","EV",21,0,25,"No",57,378,8,-73.9702,40.7184,-68.7466,44.8356,"ME","NY"
"1903","Minneapolis","Cleveland","Gold",42,"Female",1,2003,7,0.6,"Business travel",3,0,195,"Eco","3/7/14","EV",18,0,0,"No",97,622,6,-81.6054,41.4436,-93.2798,44.9782,"MN","OH"
"1904","Boston","Charlotte","Blue",59,"Female",2,2009,15,-0.875,"Business travel",0,0,25,"Eco Plus","1/11/14","B6",12,0,0,"No",98,728,8,-80.8158,35.2497,-71.1407,42.3731,"MA","NC"
"1905","Seattle","Juneau","Gold",39,"Female",1,2004,16,-0.28,"Business travel",1,0,45,"Eco","3/29/14","AS",20,0,0,"No",121,909,9,-134.5828,58.3523,-122.2747,47.4684,"WA","AK"
"1906","Houston","Seattle","Blue",50,"Female",2,2006,13,-0.2381,"Business travel",0,28,40,"Eco","3/27/14","OU",11,0,5,"No",213,1874,9,-122.2747,47.4684,-95.3935,29.7843,"TX","WA"
"1907","Albuquerque","Houston","Blue",66,"Female",1,2005,23,-0.84,"Personal Travel",0,205,90,"Eco","2/16/14","EV",15,12,3,"No",108,744,2,-95.3935,29.7843,-106.6281,35.1434,"NM","TX"
"1908","Dallas","Lubbock","Blue",34,"Female",1,2004,26,0.0545,"Personal Travel",3,5,65,"Eco","3/9/14","WN",16,0,0,"No",51,293,2,-101.8932,33.5592,-96.972,32.8127,"TX","TX"
"1909","Atlanta","Omaha","Silver",28,"Female",1,2007,12,-0.2,"Business travel",2,75,195,"Eco","2/8/14","DL",13,0,0,"No",99,821,6,-96.0346,41.2349,-84.3319,33.8241,"GA","NE"
"1910","New York","Boston","Blue",36,"Female",1,2005,7,0.3,"Business travel",3,0,30,"Eco","2/12/14","US",17,6,0,"No",43,184,7,-71.1407,42.3731,-73.9702,40.7184,"NY","MA"
"1911","Rochester","New York","Platinum",77,"Male",1,2007,34,-0.7,"Personal Travel",0,0,110,"Eco Plus","1/5/14","EV",8,NA,NA,"Yes",0,254,4,-73.9702,40.7184,-77.5682,43.1376,"NY","NY"
"1912","Dallas","Lubbock","Blue",80,"Female",1,2009,33,-0.5714,"Personal Travel",0,0,130,"Eco","2/20/14","WN",16,8,3,"No",47,293,2,-101.8932,33.5592,-96.972,32.8127,"TX","TX"
"1913","Myrtle Beach","Atlanta","Blue",26,"Female",2,2003,36,-0.5652,"Business travel",1,120,0,"Eco","1/31/14","EV",16,0,6,"No",48,317,5,-84.3319,33.8241,-78.8505,33.7636,"SC","GA"
"1914","Houston","Jacksonville","Blue",63,"Female",1,2009,16,-0.28,"Business travel",0,0,30,"Eco Plus","3/3/14","WN",17,4,0,"No",132,816,7,-81.6427,30.2401,-95.3935,29.7843,"TX","FL"
"1915","New York","Aguadilla","Blue",43,"Female",1,2004,4,0.2727,"Business travel",2,0,90,"Eco","3/8/14","B6",6,0,0,"No",212,1576,10,-67.041,18.3707,-73.9702,40.7184,"NY","PR"
"1916","Orlando","Houston","Gold",41,"Female",1,2008,6,0.2,"Business travel",3,10,50,"Business","1/26/14","OU",11,0,0,"No",103,854,8,-95.3935,29.7843,-81.4112,28.5844,"FL","TX"
"1917","Oklahoma City","Cleveland","Silver",33,"Female",1,2003,45,-0.9149,"Business travel",0,75,55,"Eco","2/14/14","EV",18,11,0,"No",137,948,9,-81.6054,41.4436,-97.5243,35.5048,"OK","OH"
"1918","San Antonio","Houston","Silver",62,"Female",1,2009,4,0.2727,"Business travel",0,40,70,"Eco","2/3/14","EV",9,50,40,"No",39,191,4,-95.3935,29.7843,-98.4754,29.5144,"TX","TX"
"1919","Charlotte","Las Vegas","Blue",18,"Male",1,2004,24,-0.6552,"Personal Travel",0,0,95,"Eco","1/16/14","US",9,0,0,"No",211,1916,8,-115.1672,36.1349,-80.8158,35.2497,"NC","NV"
"1920","Huntsville","Houston","Blue",46,"Female",2,2003,17,-0.7,"Business travel",2,0,45,"Eco Plus","2/3/14","EV",21,14,6,"No",78,595,5,-95.3935,29.7843,-86.6378,34.7414,"AL","TX"
"1921","Seattle","Fairbanks","Silver",40,"Male",1,2005,21,-0.1351,"Personal Travel",2,5,75,"Eco","1/12/14","AS",8,0,0,"No",176,1533,9,-147.7057,64.802,-122.2747,47.4684,"WA","AK"
"1922","Huntsville","Chicago","Gold",40,"Female",1,2005,5,0.5,"Business travel",2,0,35,"Eco","1/13/14","EV",13,62,60,"No",84,510,8,-87.8954,41.8271,-86.6378,34.7414,"AL","IL"
"1923","Phoenix","Denver","Silver",42,"Female",2,2003,38,-0.5833,"Business travel",2,0,45,"Eco","1/31/14","WN",9,19,25,"No",96,602,10,-104.9551,39.7108,-111.97,33.4941,"AZ","CO"
"1924","Houston","Miami","Blue",80,"Female",1,2009,28,-0.8667,"Personal Travel",0,0,90,"Eco","3/18/14","AA",21,0,0,"No",148,964,7,-80.2314,26.1756,-95.3935,29.7843,"TX","FL"
"1925","Flint","Atlanta","Gold",49,"Male",1,2003,15,-0.2,"Business travel",3,0,90,"Business","3/23/14","DL",15,0,0,"No",86,645,10,-84.3319,33.8241,-83.6947,42.9888,"MI","GA"
"1926","Kahului","Los Angeles","Silver",44,"Male",1,2007,6,0.25,"Business travel",2,0,100,"Eco","2/10/14","DL",7,0,0,"No",320,2486,8,-118.1043,33.9827,-156.4779,20.8864,"HI","CA"
"1927","El Paso","Phoenix","Blue",17,"Female",2,2003,19,-0.4074,"Personal Travel",3,40,0,"Eco","1/16/14","WN",7,0,0,"No",50,347,6,-111.97,33.4941,-106.389,31.7802,"TX","AZ"
"1928","Houston","Washington","Silver",53,"Female",1,2008,28,-0.5556,"Business travel",2,60,60,"Eco","3/12/14","OU",7,0,0,"No",177,1208,7,-77.1897,38.8974,-95.3935,29.7843,"TX","DC"
"1929","Washington","Indianapolis","Blue",73,"Female",1,2009,31,-0.5897,"Personal Travel",0,120,90,"Eco","1/27/14","EV",9,0,0,"No",64,476,7,-86.1455,39.8113,-77.1897,38.8974,"DC","IN"
"1930","Chicago","Philadelphia","Gold",79,"Female",2,2007,22,-0.375,"Personal Travel",0,0,130,"Eco","3/27/14","MQ",12,0,0,"No",103,678,4,-75.2984,39.9733,-87.8954,41.8271,"IL","PA"
"1931","Las Vegas","San Jose","Blue",85,"Female",1,2011,34,-0.619,"Personal Travel",0,0,35,"Business","3/21/14","WN",8,0,0,"No",61,386,3,-121.9451,37.3298,-115.1672,36.1349,"NV","CA"
"1932","Birmingham","Chicago","Silver",37,"Female",2,2008,11,0.3889,"Mileage tickets",3,120,170,"Eco","1/12/14","WN",20,1,0,"No",84,570,9,-87.8954,41.8271,-86.792,33.4691,"AL","IL"
"1933","Los Angeles","Phoenix","Blue",30,"Female",1,2006,15,-0.3636,"Business travel",2,112,90,"Eco","3/2/14","US",14,0,0,"No",57,370,10,-111.97,33.4941,-118.1043,33.9827,"CA","AZ"
"1934","St. Louis","Oklahoma City","Silver",71,"Male",1,2005,7,-0.4,"Business travel",0,0,30,"Eco","2/25/14","WN",17,4,0,"No",63,462,9,-97.5243,35.5048,-90.3409,38.6307,"MO","OK"
"1935","Detroit","San Francisco","Silver",55,"Male",1,2012,19,-0.6522,"Business travel",2,0,50,"Eco","2/20/14","DL",23,291,280,"No",230,2079,9,-122.1585,37.6712,-83.2276,42.49,"MI","CA"
"1936","Tucson","San Francisco","Gold",59,"Male",1,2011,28,-0.5135,"Business travel",0,15,60,"Eco","1/6/14","OO",7,4,7,"No",100,751,10,-122.1585,37.6712,-110.9461,32.2549,"AZ","CA"
"1937","Milwaukee","New York","Blue",77,"Female",1,2004,28,-0.6471,"Personal Travel",0,0,75,"Eco","2/5/14","WN",6,NA,NA,"Yes",0,738,5,-73.9702,40.7184,-88.1005,43.0557,"WI","NY"
"1938","Dallas","Austin","Blue",31,"Male",2,2012,21,-0.2353,"Personal Travel",2,180,60,"Eco","1/19/14","WN",9,0,0,"No",35,189,8,-97.7615,30.3585,-96.972,32.8127,"TX","TX"
"1939","Atlanta","Columbus","Platinum",55,"Male",1,2010,9,-0.8,"Business travel",1,30,220,"Business","3/2/14","EV",10,0,2,"No",44,241,1,-88.3915,33.5019,-84.3319,33.8241,"GA","MS"
"1940","Los Angeles","New York","Silver",63,"Female",1,2011,11,-0.4667,"Business travel",0,270,10,"Business","3/28/14","AA",16,0,0,"No",340,2475,8,-73.9702,40.7184,-118.1043,33.9827,"CA","NY"
"1941","Phoenix","Charlotte","Blue",57,"Female",0,2003,12,-0.1429,"Business travel",0,70,110,"Eco Plus","2/22/14","US",14,0,6,"No",268,1773,8,-80.8158,35.2497,-111.97,33.4941,"AZ","NC"
"1942","Harrisburg","Atlanta","Gold",38,"Female",2,2007,12,0.1429,"Business travel",1,75,220,"Eco Plus","2/14/14","EV",9,14,12,"No",92,620,7,-84.3319,33.8241,-76.8662,40.2456,"PA","GA"
"1943","Boston","Philadelphia","Blue",61,"Female",1,2009,54,-0.7705,"Personal Travel",0,0,60,"Eco","3/14/14","US",20,136,131,"No",51,280,4,-75.2984,39.9733,-71.1407,42.3731,"MA","PA"
"1944","Chicago","Columbia","Blue",38,"Male",1,2003,15,-0.4286,"Business travel",1,0,70,"Business","3/30/14","EV",9,0,0,"No",109,667,8,-81.0772,34.0362,-87.8954,41.8271,"IL","SC"
"1945","Los Angeles","Austin","Blue",37,"Male",1,2004,47,-0.3824,"Personal Travel",2,0,55,"Eco","3/11/14","OO",9,5,0,"No",175,1242,2,-97.7615,30.3585,-118.1043,33.9827,"CA","TX"
"1946","Pittsburgh","Chicago","Blue",51,"Male",1,2006,44,-0.6604,"Business travel",0,5,45,"Eco Plus","3/13/14","WN",14,1,2,"No",54,402,9,-87.8954,41.8271,-79.951,40.457,"PA","IL"
"1947","Cincinnati","Miami","Gold",50,"Female",2,2006,16,-0.5238,"Business travel",0,60,30,"Eco","1/12/14","MQ",9,1,0,"No",144,948,9,-80.2314,26.1756,-84.462,39.1855,"OH","FL"
"1948","Atlanta","Philadelphia","Blue",25,"Female",1,2011,43,-0.8298,"Business travel",1,29,20,"Eco","3/4/14","DL",13,0,3,"No",116,666,8,-75.2984,39.9733,-84.3319,33.8241,"GA","PA"
"1949","San Antonio","Houston","Blue",48,"Female",1,2010,10,0.5349,"Business travel",3,0,60,"Eco","1/20/14","WN",9,7,0,"No",36,192,8,-95.3935,29.7843,-98.4754,29.5144,"TX","TX"
"1950","Omaha","Chicago","Silver",33,"Female",1,2009,8,0.1111,"Business travel",0,77,180,"Eco","3/16/14","WN",12,0,0,"No",62,423,9,-87.8954,41.8271,-96.0346,41.2349,"NE","IL"
"1951","Chicago","Denver","Platinum",62,"Male",1,2010,4,0.1111,"Business travel",0,0,121,"Eco","3/4/14","OU",8,0,0,"No",115,888,10,-104.9551,39.7108,-87.8954,41.8271,"IL","CO"
"1952","Boston","Washington","Silver",48,"Male",2,2009,6,0.25,"Business travel",4,60,90,"Eco","1/21/14","B6",12,0,8,"No",57,399,10,-77.1897,38.8974,-71.1407,42.3731,"MA","DC"
"1953","Atlanta","Indianapolis","Blue",30,"Male",1,2005,13,-0.1818,"Business travel",0,10,180,"Eco","2/21/14","DL",18,96,84,"No",66,432,9,-86.1455,39.8113,-84.3319,33.8241,"GA","IN"
"1954","Minneapolis","Portland","Gold",42,"Female",1,2010,18,-0.3846,"Mileage tickets",0,120,300,"Eco","3/2/14","DL",15,0,0,"No",158,1426,9,-122.6511,45.5204,-93.2798,44.9782,"MN","OR"
"1955","Los Angeles","Denver","Blue",74,"Male",2,2006,30,-0.8182,"Mileage tickets",0,0,20,"Eco","2/24/14","OU",14,61,46,"No",114,862,8,-104.9551,39.7108,-118.1043,33.9827,"CA","CO"
"1956","Orlando","Cleveland","Blue",80,"Female",2,2006,35,-0.9444,"Personal Travel",0,0,55,"Eco","2/14/14","OU",19,212,206,"No",122,895,4,-81.6054,41.4436,-81.4112,28.5844,"FL","OH"
"1957","Kahului","Phoenix","Blue",30,"Female",1,2011,13,0.3659,"Personal Travel",2,15,150,"Eco","3/29/14","US",8,0,1,"No",378,2845,7,-111.97,33.4941,-156.4779,20.8864,"HI","AZ"
"1958","Miami","Washington","Blue",64,"Male",1,2003,68,-0.971,"Personal Travel",0,0,15,"Eco","3/23/14","AA",6,0,0,"No",123,919,4,-77.1897,38.8974,-80.2314,26.1756,"FL","DC"
"1959","Atlanta","Fort Wayne","Blue",51,"Female",1,2008,21,-0.68,"Business travel",0,20,75,"Eco","3/26/14","EV",11,89,94,"No",79,508,7,-85.1389,41.1004,-84.3319,33.8241,"GA","IN"
"1960","Chicago","Albuquerque","Blue",38,"Male",1,2011,22,0.102,"Business travel",2,0,45,"Eco","2/10/14","OO",12,0,25,"No",130,1118,4,-106.6281,35.1434,-87.8954,41.8271,"IL","NM"
"1961","Phoenix","Chicago","Blue",31,"Female",1,2003,13,0.3953,"Business travel",2,0,45,"Eco","2/13/14","AA",11,0,0,"No",206,1440,9,-87.8954,41.8271,-111.97,33.4941,"AZ","IL"
"1962","Miami","Minneapolis","Silver",37,"Male",1,2009,21,-0.75,"Personal Travel",3,35,60,"Eco","3/8/14","AA",5,0,0,"No",188,1501,9,-93.2798,44.9782,-80.2314,26.1756,"FL","MN"
"1963","Chicago","St. Louis","Gold",42,"Male",1,2003,0,1,"Business travel",2,0,50,"Eco","2/5/14","AA",14,183,187,"No",49,258,10,-90.3409,38.6307,-87.8954,41.8271,"IL","MO"
"1964","Phoenix","Chicago","Blue",22,"Female",1,2007,15,0.25,"Personal Travel",2,65,38,"Eco","3/13/14","WN",20,47,40,"No",202,1444,3,-87.8954,41.8271,-111.97,33.4941,"AZ","IL"
"1965","Chicago","La Crosse","Blue",18,"Female",2,2003,25,-0.7241,"Mileage tickets",0,0,20,"Eco Plus","3/30/14","MQ",19,0,0,"No",38,215,8,-91.2264,43.8598,-87.8954,41.8271,"IL","WI"
"1966","Los Angeles","San Jose","Blue",25,"Male",1,2009,25,-0.8519,"Business travel",1,0,30,"Eco","3/9/14","WN",12,19,15,"No",51,308,8,-121.9451,37.3298,-118.1043,33.9827,"CA","CA"
"1967","Atlanta","Baton Rouge","Blue",52,"Male",3,2009,6,0,"Business travel",0,0,1,"Eco","3/28/14","EV",5,0,0,"No",61,448,7,-91.039,30.4279,-84.3319,33.8241,"GA","LA"
"1968","Washington","Atlanta","Blue",62,"Female",1,2004,25,-0.9231,"Business travel",0,0,70,"Business","3/18/14","EV",9,10,5,"No",75,534,6,-84.3319,33.8241,-77.1897,38.8974,"DC","GA"
"1969","San Francisco","Austin","Blue",22,"Female",1,2012,12,-0.1429,"Business travel",0,0,50,"Eco","3/4/14","VX",17,0,0,"No",222,1504,5,-97.7615,30.3585,-122.1585,37.6712,"CA","TX"
"1970","Chicago","Philadelphia","Blue",72,"Female",2,2003,31,-0.5897,"Personal Travel",0,0,30,"Eco","3/19/14","US",15,0,0,"No",114,678,6,-75.2984,39.9733,-87.8954,41.8271,"IL","PA"
"1971","Denver","Reno","Platinum",51,"Female",1,2012,18,-0.3333,"Business travel",2,0,30,"Eco","3/10/14","WN",6,0,0,"No",98,804,10,-119.7959,39.5326,-104.9551,39.7108,"CO","NV"
"1972","Houston","Atlanta","Blue",80,"Female",1,2004,4,-0.6,"Personal Travel",0,0,105,"Eco Plus","2/9/14","DL",14,0,0,"No",103,689,8,-84.3319,33.8241,-95.3935,29.7843,"TX","GA"
"1973","Boston","Miami","Silver",38,"Female",1,2005,9,0.6897,"Personal Travel",1,90,60,"Eco","2/26/14","AA",7,0,0,"No",168,1258,7,-80.2314,26.1756,-71.1407,42.3731,"MA","FL"
"1974","Atlanta","Milwaukee","Blue",44,"Male",1,2009,17,-0.5455,"Business travel",1,130,30,"Eco","3/8/14","DL",16,0,4,"No",94,669,9,-88.1005,43.0557,-84.3319,33.8241,"GA","WI"
"1975","Chicago","Los Angeles","Gold",47,"Female",1,2003,4,0.5556,"Business travel",1,42,60,"Business","1/17/14","AA",15,0,10,"No",222,1744,10,-118.1043,33.9827,-87.8954,41.8271,"IL","CA"
"1976","Chicago","Indianapolis","Blue",48,"Male",1,2004,0,1,"Business travel",3,0,20,"Eco","1/9/14","MQ",15,135,167,"No",44,177,9,-86.1455,39.8113,-87.8954,41.8271,"IL","IN"
"1977","Chicago","Los Angeles","Gold",30,"Female",1,2004,15,-0.5789,"Business travel",0,26,30,"Business","3/17/14","WN",12,13,0,"No",204,1750,9,-118.1043,33.9827,-87.8954,41.8271,"IL","CA"
"1978","Baltimore","Boston","Silver",37,"Male",3,2007,31,-0.8788,"Business travel",0,11,40,"Eco","2/7/14","WN",17,55,53,"No",73,369,7,-71.1407,42.3731,-76.6478,39.2341,"MD","MA"
"1979","San Diego","New York","Blue",25,"Female",1,2006,18,-0.3333,"Personal Travel",1,130,0,"Eco Plus","2/24/14","B6",8,16,60,"No",352,2446,3,-73.9702,40.7184,-117.1288,32.9287,"CA","NY"
"1980","Baltimore","Portland","Blue",16,"Male",1,2003,15,-0.25,"Personal Travel",2,122,30,"Eco","3/29/14","WN",13,21,24,"No",81,452,6,-70.3219,43.6637,-76.6478,39.2341,"MD","ME"
"1981","Austin","Seattle","Blue",53,"Female",1,2008,13,-0.5294,"Business travel",0,20,45,"Eco","1/7/14","AS",11,0,0,"No",203,1770,9,-122.2747,47.4684,-97.7615,30.3585,"TX","WA"
"1982","Detroit","Las Vegas","Blue",39,"Female",2,2012,19,-0.52,"Personal Travel",1,0,60,"Eco","1/3/14","DL",17,8,0,"No",203,1749,4,-115.1672,36.1349,-83.2276,42.49,"MI","NV"
"1983","Atlanta","Washington","Blue",67,"Male",1,2003,36,-0.6744,"Business travel",1,30,65,"Business","3/5/14","WN",6,0,4,"No",93,547,9,-77.1897,38.8974,-84.3319,33.8241,"GA","DC"
"1984","Atlanta","Mobile","Blue",49,"Male",0,2004,47,-0.8431,"Personal Travel",0,0,25,"Eco","2/9/14","EV",18,0,0,"No",47,302,1,-88.1635,30.6674,-84.3319,33.8241,"GA","AL"
"1985","Denver","Oklahoma City","Blue",50,"Female",1,2012,6,-0.5,"Business travel",1,0,65,"Eco","2/10/14","OO",11,2,22,"No",79,495,9,-97.5243,35.5048,-104.9551,39.7108,"CO","OK"
"1986","Atlanta","Pittsburgh","Blue",36,"Male",2,2006,19,0,"Personal Travel",2,0,175,"Eco","1/7/14","FL",10,0,10,"No",78,526,9,-79.951,40.457,-84.3319,33.8241,"GA","PA"
"1987","Miami","Los Angeles","Platinum",80,"Female",2,2012,19,-0.7273,"Personal Travel",0,0,120,"Eco","2/26/14","AA",5,0,0,"No",247,2342,4,-118.1043,33.9827,-80.2314,26.1756,"FL","CA"
"1988","Phoenix","San Jose","Blue",64,"Male",1,2003,20,-0.4815,"Business travel",0,0,30,"Eco","1/27/14","WN",14,0,0,"No",90,621,6,-121.9451,37.3298,-111.97,33.4941,"AZ","CA"
"1989","Branson","Houston","Silver",71,"Male",2,2004,19,-0.3571,"Personal Travel",0,40,80,"Eco","1/28/14","WN",13,NA,NA,"Yes",0,490,8,-95.3935,29.7843,-93.2464,36.6373,"MO","TX"
"1990","Orlando","New York","Blue",72,"Female",1,2011,29,-0.9333,"Personal Travel",0,30,45,"Eco","1/31/14","B6",9,0,0,"No",143,944,3,-73.9702,40.7184,-81.4112,28.5844,"FL","NY"
"1991","Columbus","Chicago","Blue",41,"Female",2,2010,28,-0.098,"Business travel",1,10,5,"Eco","2/20/14","OU",18,81,82,"No",54,296,3,-87.8954,41.8271,-82.9685,40.0212,"OH","IL"
"1992","Las Vegas","Salt Lake City","Blue",40,"Male",2,2008,4,0.3846,"Business travel",3,0,135,"Eco","3/27/14","DL",8,0,0,"No",56,368,9,-111.9295,40.6408,-115.1672,36.1349,"NV","UT"
"1993","Juneau","Seattle","Blue",49,"Female",1,2006,19,-0.4615,"Personal Travel",2,0,33,"Eco","3/9/14","AS",7,0,0,"No",128,909,7,-122.2747,47.4684,-134.5828,58.3523,"AK","WA"
"1994","Los Angeles","Denver","Silver",53,"Male",1,2005,21,-0.6154,"Personal Travel",0,30,15,"Eco","2/16/14","MQ",15,72,89,"No",141,862,7,-104.9551,39.7108,-118.1043,33.9827,"CA","CO"
"1995","Phoenix","Orlando","Blue",77,"Female",2,2007,13,-0.7333,"Personal Travel",0,20,100,"Eco","3/1/14","WN",15,0,0,"No",258,1849,5,-81.4112,28.5844,-111.97,33.4941,"AZ","FL"
"1996","Elko","Salt Lake City","Blue",40,"Female",1,2007,20,-0.0526,"Business travel",2,35,25,"Eco","3/27/14","OO",21,0,0,"No",41,200,8,-111.9295,40.6408,-115.7728,40.8368,"NV","UT"
"1997","Denver","Minneapolis","Silver",78,"Female",1,2008,28,-0.4737,"Personal Travel",0,6,70,"Eco Plus","2/4/14","DL",14,6,4,"No",101,680,7,-93.2798,44.9782,-104.9551,39.7108,"CO","MN"
"1998","Denver","Phoenix","Blue",32,"Female",1,2006,30,-0.5789,"Personal Travel",2,0,15,"Eco","2/13/14","US",22,0,1,"No",85,602,6,-111.97,33.4941,-104.9551,39.7108,"CO","AZ"
"1999","Salt Lake City","Billings","Blue",48,"Female",0,2006,8,0.1579,"Personal Travel",1,4,38,"Eco","3/13/14","OO",18,0,0,"No",54,387,4,-108.5318,45.7913,-111.9295,40.6408,"UT","MT"
"2000","Houston","Dallas","Gold",39,"Male",1,2009,3,0.9032,"Business travel",2,0,90,"Eco","2/15/14","WN",11,0,10,"No",43,239,9,-96.972,32.8127,-95.3935,29.7843,"TX","TX"
"2001","Albuquerque","Dallas","Silver",60,"Male",1,2004,16,-0.3913,"Personal Travel",0,0,160,"Eco","1/4/14","WN",12,50,49,"No",94,580,5,-96.972,32.8127,-106.6281,35.1434,"NM","TX"
"2002","Pittsburgh","Tampa","Blue",38,"Male",1,2005,12,-0.0909,"Business travel",2,155,90,"Eco","3/15/14","WN",21,25,20,"No",118,873,10,-82.5132,28.0062,-79.951,40.457,"PA","FL"
"2003","Houston","Lafayette","Silver",80,"Female",2,2005,38,-0.617,"Mileage tickets",0,0,60,"Eco","2/13/14","EV",15,0,0,"No",39,201,7,-92.0133,30.1654,-95.3935,29.7843,"TX","LA"
"2004","Denver","Seattle","Blue",45,"Female",1,2010,8,-0.1429,"Business travel",1,205,90,"Eco Plus","2/12/14","AS",19,0,0,"No",113,1024,10,-122.2747,47.4684,-104.9551,39.7108,"CO","WA"
"2005","New York","Washington","Blue",57,"Female",1,2003,4,0.2727,"Business travel",0,0,88,"Eco Plus","1/21/14","MQ",6,0,0,"No",41,213,10,-77.1897,38.8974,-73.9702,40.7184,"NY","DC"
"2006","Las Vegas","Phoenix","Gold",46,"Male",1,2003,3,0.625,"Business travel",3,0,90,"Eco","3/8/14","WN",6,0,4,"No",49,255,10,-111.97,33.4941,-115.1672,36.1349,"NV","AZ"
"2007","Grand Rapids","Atlanta","Blue",68,"Female",1,2005,60,-0.9355,"Personal Travel",0,0,30,"Eco","2/1/14","DL",20,1,0,"No",82,640,4,-84.3319,33.8241,-85.6686,42.9429,"MI","GA"
"2008","San Diego","Los Angeles","Silver",48,"Male",1,2007,21,-0.05,"Mileage tickets",2,55,100,"Eco Plus","1/17/14","MQ",19,4,13,"No",29,109,10,-118.1043,33.9827,-117.1288,32.9287,"CA","CA"
"2009","Indianapolis","Tampa","Blue",36,"Female",1,2011,10,0.1304,"Personal Travel",3,0,29,"Eco Plus","3/22/14","WN",9,13,15,"No",125,837,4,-82.5132,28.0062,-86.1455,39.8113,"IN","FL"
"2010","Houston","Cleveland","Blue",40,"Male",1,2010,27,-0.5,"Mileage tickets",0,60,30,"Eco","1/25/14","OO",17,1,0,"No",153,1091,7,-81.6054,41.4436,-95.3935,29.7843,"TX","OH"
"2011","Houston","Atlanta","Blue",18,"Male",1,2003,29,-0.6111,"Business travel",2,0,10,"Eco","1/23/14","DL",9,0,0,"No",120,689,8,-84.3319,33.8241,-95.3935,29.7843,"TX","GA"
"2012","Indianapolis","Chicago","Blue",68,"Female",1,2008,6,0.25,"Personal Travel",0,0,60,"Eco","1/28/14","OO",15,4,0,"No",34,177,5,-87.8954,41.8271,-86.1455,39.8113,"IN","IL"
"2013","Cincinnati","Orlando","Silver",27,"Female",1,2011,20,0,"Business travel",2,0,65,"Eco","3/24/14","DL",8,0,4,"No",116,757,9,-81.4112,28.5844,-84.462,39.1855,"OH","FL"
"2014","Salt Lake City","Orlando","Blue",45,"Female",1,2003,23,-0.3143,"Business travel",1,15,85,"Eco","3/14/14","DL",18,10,0,"No",262,1931,10,-81.4112,28.5844,-111.9295,40.6408,"UT","FL"
"2015","San Diego","Atlanta","Blue",16,"Male",2,2012,0,1,"Personal Travel",2,0,30,"Eco","3/17/14","DL",8,0,0,"No",254,1892,7,-84.3319,33.8241,-117.1288,32.9287,"CA","GA"
"2016","Miami","Key West","Silver",36,"Male",1,2009,20,0.403,"Business travel",2,30,60,"Business","3/9/14","MQ",6,0,2,"No",34,125,10,-81.7515,24.5696,-80.2314,26.1756,"FL","FL"
"2017","Los Angeles","Houston","Blue",39,"Male",1,2010,4,0.6364,"Business travel",3,0,40,"Business","3/12/14","OU",13,0,0,"No",199,1379,7,-95.3935,29.7843,-118.1043,33.9827,"CA","TX"
"2018","Lafayette","Houston","Blue",18,"Female",1,2011,3,0.4,"Business travel",1,130,135,"Business","1/7/14","EV",7,6,0,"No",32,201,6,-95.3935,29.7843,-92.0133,30.1654,"LA","TX"
"2019","Atlanta","Indianapolis","Silver",48,"Female",2,2011,20,-0.4815,"Personal Travel",2,0,90,"Eco","3/4/14","DL",6,0,0,"No",63,432,8,-86.1455,39.8113,-84.3319,33.8241,"GA","IN"
"2020","Philadelphia","Atlanta","Blue",75,"Female",2,2012,43,-0.8696,"Personal Travel",0,45,40,"Eco","2/2/14","DL",10,19,4,"No",82,666,7,-84.3319,33.8241,-75.2984,39.9733,"PA","GA"
"2021","Dallas","San Antonio","Blue",53,"Female",1,2009,5,0.2308,"Business travel",0,32,30,"Eco Plus","2/2/14","WN",9,0,3,"No",44,248,7,-98.4754,29.5144,-96.972,32.8127,"TX","TX"
"2022","Baltimore","Providence","Blue",35,"Male",2,2003,23,-0.6429,"Personal Travel",1,0,0,"Eco","2/12/14","WN",6,0,0,"No",58,327,6,-71.3974,41.7763,-76.6478,39.2341,"MD","RI"
