,DestinationCity,OriginCity,AirlineStatus,Age,Gender,PriceSensitivity,YearOfFirstFlight,FLightsPerYear,Loyalty,TypeOfTravel,TotalFreqFlyAccount,ShoppingAmount,FoodExpenses,Class,FlightDate,PartnerCode,ScheduleDepHour,DepartureDelayInMin,ArrivalDelayInMin,FlightCancelled,FlightDuration,Distance,LikelihoodRecommendScore,OriginLong,OriginLat,DestLong,DestLat,DestinationState,OriginState,AgeGroup
48,Dallas,New Orleans,Blue,54,Female,2,2003,30,-0.5789,Business travel,0,0,20,Eco Plus,2/9/2014,WN,9,0,0,No,70,436,8,-90.1437,29.9547,-96.972,32.8127,TX,LA,over 54
49,Salt Lake City,Anchorage,Blue,68,Female,2,2003,36,-0.7143,Personal Travel,0,0,20,Eco Plus,3/10/2014,DL,5,0,0,No,247,2125,6,-149.8472,61.1679,-111.9295,40.6408,UT,AK,over 54
53,Atlanta,San Francisco,Blue,76,Male,1,2012,26,-0.8571,Personal Travel,0,0,90,Eco Plus,3/3/2014,FL,23,17,3,No,234,2139,8,-122.1585,37.6712,-84.3319,33.8241,GA,CA,over 54
61,Baltimore,Atlanta,Blue,68,Female,1,2012,27,-0.7419,Business travel,0,10,15,Eco,1/31/2014,DL,17,8,0,No,72,577,9,-84.3319,33.8241,-76.6478,39.2341,MD,GA,over 54
63,Chicago,Memphis,Blue,55,Female,2,2009,8,-0.4545,Personal Travel,0,175,20,Eco,3/27/2014,MQ,19,36,30,No,79,491,4,-89.9179,35.0951,-87.8954,41.8271,IL,TN,over 54
64,Denver,Sacramento,Blue,61,Female,2,2005,55,-0.6923,Personal Travel,0,0,15,Eco,2/1/2014,OO,10,66,62,No,124,909,8,-121.3247,38.6386,-104.9551,39.7108,CO,CA,over 54
66,Las Vegas,New Orleans,Blue,56,Male,1,2005,11,-0.6923,Business travel,0,0,145,Eco,2/21/2014,WN,16,0,9,No,232,1500,9,-90.1437,29.9547,-115.1672,36.1349,NV,LA,over 54
67,Las Vegas,Fresno,Blue,56,Female,1,2004,7,-0.0769,Business travel,0,0,90,Business,1/5/2014,OO,19,6,4,No,63,259,9,-119.7611,36.7878,-115.1672,36.1349,NV,CA,over 54
68,Houston,Tulsa,Blue,67,Female,1,2009,29,-0.5676,Personal Travel,0,5,30,Eco,3/14/2014,EV,7,113,102,No,70,429,3,-95.9013,36.1054,-95.3935,29.7843,TX,OK,over 54
74,Orlando,Atlanta,Blue,69,Male,1,2012,10,-0.25,Business travel,0,0,35,Eco Plus,2/3/2014,DL,8,0,0,No,58,404,9,-84.3319,33.8241,-81.4112,28.5844,FL,GA,over 54
77,Seattle,Chicago,Blue,66,Female,1,2005,19,-0.3571,Personal Travel,0,30,90,Eco Plus,2/13/2014,OU,9,1,1,No,255,1721,8,-87.8954,41.8271,-122.2747,47.4684,WA,IL,over 54
78,Los Angeles,Reno,Blue,59,Female,1,2005,6,0,Business travel,0,10,80,Eco,2/9/2014,OO,16,0,0,No,68,391,8,-119.7959,39.5326,-118.1043,33.9827,CA,NV,over 54
79,Charleston,Chicago,Silver,62,Female,1,2007,43,-0.72,Business travel,0,0,70,Eco,3/14/2014,WN,16,20,12,No,90,745,10,-87.8954,41.8271,-80.0155,32.9023,SC,IL,over 54
81,Indianapolis,Salt Lake City,Blue,56,Male,1,2003,9,-0.125,Business travel,1,0,35,Eco,1/7/2014,DL,17,20,39,No,159,1355,8,-111.9295,40.6408,-86.1455,39.8113,IN,UT,over 54
82,Richmond,Atlanta,Blue,65,Female,2,2012,16,-0.28,Personal Travel,0,0,107,Business,2/18/2014,DL,21,0,0,No,64,481,3,-84.3319,33.8241,-77.488,37.4779,VA,GA,over 54
85,Tampa,Providence,Silver,60,Male,1,2011,2,0.5,Business travel,1,0,105,Business,3/14/2014,WN,6,0,0,No,166,1136,9,-71.3974,41.7763,-82.5132,28.0062,FL,RI,over 54
88,Phoenix,St. Louis,Blue,67,Female,1,2006,33,-0.6098,Personal Travel,0,45,10,Eco,1/23/2014,WN,17,8,3,No,189,1262,7,-90.3409,38.6307,-111.97,33.4941,AZ,MO,over 54
98,Los Angeles,Portland,Blue,78,Female,1,2012,29,-0.7059,Personal Travel,0,90,135,Eco Plus,1/6/2014,AS,6,0,0,No,114,834,5,-122.6511,45.5204,-118.1043,33.9827,CA,OR,over 54
99,Sacramento,Phoenix,Blue,59,Male,1,2004,28,-0.6,Business travel,0,0,70,Business,3/7/2014,WN,18,1,0,No,107,647,9,-111.97,33.4941,-121.3247,38.6386,CA,AZ,over 54
102,Buffalo,Charlotte,Silver,56,Female,1,2007,4,-0.3333,Business travel,0,0,40,Eco,2/23/2014,US,16,55,42,No,76,546,9,-80.8158,35.2497,-78.8237,42.9249,NY,NC,over 54
103,Houston,Denver,Silver,80,Male,2,2011,46,-0.8039,Personal Travel,0,0,90,Eco,1/28/2014,WN,14,12,0,No,106,883,9,-104.9551,39.7108,-95.3935,29.7843,TX,CO,over 54
107,Miami,Washington,Blue,56,Female,1,2008,12,-0.0909,Business travel,0,60,40,Eco,3/6/2014,AA,6,0,8,No,146,919,7,-77.1897,38.8974,-80.2314,26.1756,FL,DC,over 54
110,Boston,Orlando,Blue,61,Female,2,2010,22,-0.5714,Mileage tickets,0,0,20,Eco,2/7/2014,DL,11,6,0,No,134,1121,7,-81.4112,28.5844,-71.1407,42.3731,MA,FL,over 54
118,Miami,Indianapolis,Blue,73,Male,1,2006,26,-0.4444,Personal Travel,0,0,130,Eco,3/1/2014,MQ,18,0,0,No,127,1020,4,-86.1455,39.8113,-80.2314,26.1756,FL,IN,over 54
123,Dallas,El Paso,Gold,60,Female,1,2009,24,-0.5484,Personal Travel,0,0,30,Eco,2/5/2014,WN,12,16,7,No,73,562,2,-106.389,31.7802,-96.972,32.8127,TX,TX,over 54
124,Billings,Salt Lake City,Blue,70,Female,1,2011,55,-0.7742,Personal Travel,1,0,30,Eco,2/27/2014,OO,21,0,0,No,57,387,7,-111.9295,40.6408,-108.5318,45.7913,MT,UT,over 54
126,Atlanta,Little Rock,Blue,65,Male,1,2007,30,-0.875,Mileage tickets,0,0,90,Eco,3/16/2014,DL,8,0,0,No,58,453,10,-92.3212,34.7566,-84.3319,33.8241,GA,AR,over 54
128,Brownsville,Houston,Silver,75,Male,1,2010,32,-0.8824,Personal Travel,0,0,125,Eco,1/26/2014,EV,14,0,0,No,49,308,4,-95.3935,29.7843,-97.4736,25.9664,TX,TX,over 54
131,Denver,St. Louis,Blue,65,Male,2,2012,25,-0.8519,Business travel,0,140,30,Eco,1/6/2014,WN,6,32,35,No,119,770,7,-90.3409,38.6307,-104.9551,39.7108,CO,MO,over 54
136,New York,Atlanta,Gold,79,Female,2,2009,21,-0.3548,Personal Travel,0,30,55,Eco,2/5/2014,FL,11,NA,NA,Yes,0,762,7,-84.3319,33.8241,-73.9702,40.7184,NY,GA,over 54
138,Salt Lake City,Los Angeles,Gold,67,Male,1,2011,33,-0.5349,Mileage tickets,0,30,150,Eco,1/5/2014,OO,21,31,22,No,83,590,7,-118.1043,33.9827,-111.9295,40.6408,UT,CA,over 54
140,Atlanta,New York,Blue,85,Female,2,2005,41,-0.7447,Personal Travel,0,0,50,Eco,2/3/2014,MQ,12,NA,NA,Yes,0,762,7,-73.9702,40.7184,-84.3319,33.8241,GA,NY,over 54
145,Des Moines,Houston,Gold,58,Female,1,2012,10,-0.0526,Business travel,0,170,210,Eco,3/27/2014,EV,15,15,6,No,109,802,5,-95.3935,29.7843,-93.6561,41.6194,IA,TX,over 54
147,Houston,Kansas City,Blue,54,Female,1,2008,7,-0.5556,Business travel,0,0,90,Eco,1/31/2014,OO,18,0,21,No,114,643,8,-94.5949,39.0398,-95.3935,29.7843,TX,MO,over 54
155,Eugene,Los Angeles,Blue,57,Female,1,2010,29,-0.8125,Personal Travel,1,30,85,Eco,1/23/2014,OO,10,0,0,No,106,748,8,-118.1043,33.9827,-123.0766,44.066,OR,CA,over 54
157,Phoenix,Minneapolis,Blue,80,Female,1,2005,31,-0.8788,Business travel,0,0,75,Eco,2/1/2014,US,17,0,0,No,187,1276,7,-93.2798,44.9782,-111.97,33.4941,AZ,MN,over 54
159,Los Angeles,Las Vegas,Gold,68,Female,1,2007,28,-0.4737,Personal Travel,0,30,50,Eco,1/26/2014,AA,9,0,0,No,41,236,7,-115.1672,36.1349,-118.1043,33.9827,CA,NV,over 54
161,Charlotte,Tampa,Gold,60,Female,1,2012,21,-0.4483,Business travel,0,20,120,Business,1/18/2014,US,8,0,8,No,73,507,9,-82.5132,28.0062,-80.8158,35.2497,NC,FL,over 54
162,Salt Lake City,Great Falls,Blue,57,Female,2,2011,29,-0.5676,Personal Travel,0,15,15,Eco,3/11/2014,OO,6,0,0,No,72,463,3,-111.2843,47.5014,-111.9295,40.6408,UT,MT,over 54
164,Houston,Atlanta,Blue,56,Female,1,2004,30,-0.7143,Business travel,0,0,180,Eco,2/4/2014,WN,12,0,0,No,126,696,7,-84.3319,33.8241,-95.3935,29.7843,TX,GA,over 54
167,Salt Lake City,Indianapolis,Blue,73,Female,2,2011,25,-0.7857,Personal Travel,1,0,135,Eco Plus,2/3/2014,DL,17,0,0,No,211,1355,8,-86.1455,39.8113,-111.9295,40.6408,UT,IN,over 54
168,Chicago,Houston,Blue,59,Male,2,2008,17,-0.7895,Business travel,1,73,180,Eco,3/7/2014,MQ,11,0,9,No,119,925,1,-95.3935,29.7843,-87.8954,41.8271,IL,TX,over 54
170,Seattle,Los Angeles,Blue,61,Female,1,2006,15,-0.6667,Personal Travel,0,0,60,Eco,1/25/2014,AS,14,0,0,No,131,954,7,-118.1043,33.9827,-122.2747,47.4684,WA,CA,over 54
175,Austin,Houston,Blue,77,Female,1,2006,28,-0.75,Personal Travel,0,15,70,Eco,3/6/2014,OU,19,4,0,No,27,140,1,-95.3935,29.7843,-97.7615,30.3585,TX,TX,over 54
177,Washington,Hartford,Blue,69,Female,2,2011,11,-0.2222,Personal Travel,0,45,105,Eco,1/3/2014,OU,19,202,205,No,58,326,5,-72.6988,41.7401,-77.1897,38.8974,DC,CT,over 54
178,St. Louis,Dallas,Blue,65,Male,1,2011,50,-0.9608,Personal Travel,0,0,30,Eco,1/4/2014,WN,16,33,30,No,73,546,2,-96.972,32.8127,-90.3409,38.6307,MO,TX,over 54
180,Brainerd,Minneapolis,Gold,70,Male,2,2006,37,-0.6444,Personal Travel,0,20,35,Eco,3/7/2014,OO,14,0,0,No,29,114,6,-93.2798,44.9782,-94.2196,46.3588,MN,MN,over 54
188,Minneapolis,Milwaukee,Blue,55,Male,1,2005,10,0.1667,Business travel,4,0,64,Eco,3/30/2014,DL,19,0,0,No,51,297,9,-88.1005,43.0557,-93.2798,44.9782,MN,WI,over 54
192,Los Angeles,San Jose,Blue,56,Male,1,2009,15,-0.5789,Business travel,0,10,30,Eco,2/4/2014,OO,19,0,0,No,51,308,9,-121.9451,37.3298,-118.1043,33.9827,CA,CA,over 54
193,Orlando,New York,Blue,56,Female,2,2011,11,-0.4667,Business travel,0,0,152,Eco,3/31/2014,B6,8,0,24,No,127,944,7,-73.9702,40.7184,-81.4112,28.5844,FL,NY,over 54
196,Chicago,Columbia,Blue,59,Female,1,2007,13,-0.2381,Business travel,0,0,270,Eco,3/1/2014,EV,7,0,0,No,107,667,7,-81.0772,34.0362,-87.8954,41.8271,IL,SC,over 54
197,Anchorage,Seattle,Silver,80,Female,2,2003,15,-0.6667,Personal Travel,0,60,252,Eco,3/26/2014,AS,19,37,28,No,182,1448,7,-122.2747,47.4684,-149.8472,61.1679,AK,WA,over 54
200,Los Angeles,San Francisco,Blue,65,Male,1,2008,0,1,Business travel,0,0,60,Business,1/29/2014,AA,20,13,2,No,53,337,4,-122.1585,37.6712,-118.1043,33.9827,CA,CA,over 54
202,Kansas City,St. Louis,Blue,66,Male,1,2010,29,-0.4872,Business travel,3,0,30,Eco,2/23/2014,WN,8,4,5,No,50,237,8,-90.3409,38.6307,-94.5949,39.0398,MO,MO,over 54
211,San Francisco,Los Angeles,Blue,75,Male,1,2005,39,-0.814,Personal Travel,0,60,60,Eco,1/23/2014,WN,14,4,0,No,53,337,7,-118.1043,33.9827,-122.1585,37.6712,CA,CA,over 54
212,Anchorage,Nome,Blue,76,Female,1,2012,47,-0.9583,Personal Travel,0,30,40,Eco,2/26/2014,AS,20,0,0,No,81,539,4,-165.3925,64.4974,-149.8472,61.1679,AK,AK,over 54
217,Atlanta,San Antonio,Gold,74,Male,2,2003,33,-0.5714,Personal Travel,0,0,180,Eco,3/16/2014,DL,7,0,0,No,106,874,1,-98.4754,29.5144,-84.3319,33.8241,GA,TX,over 54
221,Sitka,Ketchikan,Blue,80,Female,1,2010,32,-0.7297,Personal Travel,0,0,90,Eco Plus,1/11/2014,AS,16,0,0,No,37,183,8,-131.6563,55.3472,-135.3766,57.0792,AK,AK,over 54
222,Houston,Tulsa,Blue,85,Male,2,2012,19,-0.8095,Mileage tickets,0,0,70,Eco,3/31/2014,WN,20,9,1,No,69,453,9,-95.9013,36.1054,-95.3935,29.7843,TX,OK,over 54
227,Amarillo,Dallas,Blue,60,Male,1,2011,9,-0.8,Business travel,0,10,40,Eco,1/15/2014,WN,17,5,0,No,58,323,7,-96.972,32.8127,-101.8491,35.1975,TX,TX,over 54
232,Fresno,Las Vegas,Silver,60,Male,1,2004,19,-0.4615,Personal Travel,0,60,90,Eco,2/10/2014,OO,21,0,0,No,65,259,9,-115.1672,36.1349,-119.7611,36.7878,CA,NV,over 54
234,Minneapolis,San Francisco,Blue,73,Male,2,2007,12,-0.7143,Personal Travel,0,0,60,Eco,2/3/2014,DL,15,0,0,No,184,1589,8,-122.1585,37.6712,-93.2798,44.9782,MN,CA,over 54
235,Los Angeles,Atlanta,Gold,76,Male,1,2010,17,-0.4167,Personal Travel,1,0,10,Eco,2/1/2014,DL,12,30,20,No,268,1947,3,-84.3319,33.8241,-118.1043,33.9827,CA,GA,over 54
239,Minneapolis,Omaha,Blue,66,Male,1,2012,30,-0.875,Mileage tickets,0,15,100,Eco,1/8/2014,OO,9,108,94,No,45,282,3,-96.0346,41.2349,-93.2798,44.9782,MN,NE,over 54
244,San Francisco,Denver,Blue,60,Female,2,2012,33,-0.6098,Personal Travel,0,60,30,Eco,2/9/2014,OU,8,9,36,No,167,967,4,-104.9551,39.7108,-122.1585,37.6712,CA,CO,over 54
250,Indianapolis,Los Angeles,Platinum,60,Male,1,2008,11,-0.5714,Business travel,0,10,215,Eco,2/13/2014,DL,9,5,0,No,201,1814,9,-118.1043,33.9827,-86.1455,39.8113,IN,CA,over 54
254,Denver,Phoenix,Gold,80,Female,1,2004,15,-0.5789,Business travel,0,20,100,Business,2/9/2014,OU,7,0,0,No,79,602,8,-111.97,33.4941,-104.9551,39.7108,CO,AZ,over 54
258,Atlanta,Pittsburgh,Blue,60,Male,1,2004,34,-0.8889,Personal Travel,0,60,60,Eco,2/2/2014,DL,11,1,0,No,83,526,7,-79.951,40.457,-84.3319,33.8241,GA,PA,over 54
276,Denver,Los Angeles,Blue,85,Female,1,2011,15,-0.7647,Mileage tickets,0,0,165,Eco,2/8/2014,OU,14,96,78,No,101,862,7,-118.1043,33.9827,-104.9551,39.7108,CO,CA,over 54
279,Chicago,Denver,Blue,68,Male,2,2003,14,-0.5556,Business travel,0,0,45,Eco,3/15/2014,AA,6,0,0,No,107,888,10,-104.9551,39.7108,-87.8954,41.8271,IL,CO,over 54
285,Portland,Sacramento,Blue,59,Male,1,2010,29,-0.6111,Business travel,1,60,85,Eco Plus,3/18/2014,WN,16,21,18,No,73,479,10,-121.3247,38.6386,-122.6511,45.5204,OR,CA,over 54
289,Dallas,Oklahoma City,Blue,64,Female,1,2005,14,-0.4737,Personal Travel,0,135,45,Eco,2/11/2014,WN,17,14,12,No,39,181,3,-97.5243,35.5048,-96.972,32.8127,TX,OK,over 54
295,Houston,Dallas,Blue,69,Female,1,2012,26,-0.5294,Business travel,0,0,140,Eco,3/16/2014,WN,13,0,0,No,45,239,8,-96.972,32.8127,-95.3935,29.7843,TX,TX,over 54
296,Lihue,Kahului,Blue,85,Female,2,2005,47,-0.88,Personal Travel,0,0,30,Eco,2/19/2014,HA,15,0,0,No,36,201,7,-156.4779,20.8864,-159.3617,21.9758,HI,HI,over 54
298,New York,New Orleans,Silver,73,Female,2,2009,10,-0.3333,Personal Travel,0,30,90,Eco Plus,2/8/2014,DL,6,0,0,No,123,1183,9,-90.1437,29.9547,-73.9702,40.7184,NY,LA,over 54
299,Little Rock,Houston,Blue,64,Male,1,2010,55,-0.8644,Personal Travel,0,0,80,Eco,2/5/2014,EV,20,0,0,No,51,374,1,-95.3935,29.7843,-92.3212,34.7566,AR,TX,over 54
302,Miami,New York,Blue,66,Male,2,2011,17,-0.4167,Personal Travel,0,0,0,Business,3/24/2014,AA,14,5,0,No,156,1089,6,-73.9702,40.7184,-80.2314,26.1756,FL,NY,over 54
303,Las Vegas,Little Rock,Blue,59,Male,1,2003,13,-0.3684,Business travel,0,0,45,Eco,1/12/2014,WN,17,0,0,No,187,1294,8,-92.3212,34.7566,-115.1672,36.1349,NV,AR,over 54
304,Orlando,Baltimore,Blue,54,Female,2,2009,9,0,Business travel,0,25,100,Eco,2/26/2014,WN,18,31,18,No,127,787,10,-76.6478,39.2341,-81.4112,28.5844,FL,MD,over 54
306,Chicago,Columbus,Blue,65,Female,1,2005,38,-0.7273,Personal Travel,0,0,125,Eco,1/18/2014,MQ,15,NA,NA,Yes,0,296,8,-82.9685,40.0212,-87.8954,41.8271,IL,OH,over 54
310,Salt Lake City,Tucson,Blue,80,Female,2,2005,8,-0.1429,Personal Travel,0,0,120,Eco,3/29/2014,OO,11,0,0,No,89,601,8,-110.9461,32.2549,-111.9295,40.6408,UT,AZ,over 54
311,Denver,Salt Lake City,Blue,55,Male,1,2009,17,-0.7,Business travel,1,0,120,Eco,3/8/2014,F9,14,0,3,No,66,391,9,-111.9295,40.6408,-104.9551,39.7108,CO,UT,over 54
316,Atlanta,San Diego,Blue,68,Female,1,2011,46,-0.9167,Personal Travel,0,0,40,Eco,2/6/2014,DL,6,8,0,No,205,1892,4,-117.1288,32.9287,-84.3319,33.8241,GA,CA,over 54
318,Flint,Atlanta,Blue,61,Female,2,2007,14,-0.4,Personal Travel,0,0,120,Business,3/20/2014,DL,20,4,8,No,95,645,3,-84.3319,33.8241,-83.6947,42.9888,MI,GA,over 54
319,San Diego,Las Vegas,Gold,80,Female,0,2010,14,-0.6471,Business travel,0,0,225,Eco,1/8/2014,WN,6,0,0,No,44,258,8,-115.1672,36.1349,-117.1288,32.9287,CA,NV,over 54
322,Boston,San Diego,Blue,61,Male,2,2003,27,-0.5,Mileage tickets,2,60,40,Eco,1/28/2014,B6,14,0,0,No,281,2588,9,-117.1288,32.9287,-71.1407,42.3731,MA,CA,over 54
323,Los Angeles,St. Louis,Blue,59,Male,2,2011,13,-0.1304,Mileage tickets,0,0,145,Eco,1/8/2014,AA,18,13,25,No,222,1592,8,-90.3409,38.6307,-118.1043,33.9827,CA,MO,over 54
324,Fresno,Las Vegas,Blue,69,Female,1,2003,25,-0.5152,Personal Travel,2,0,175,Eco,1/3/2014,OO,17,60,54,No,65,259,3,-115.1672,36.1349,-119.7611,36.7878,CA,NV,over 54
326,San Francisco,Denver,Blue,71,Female,2,2009,32,-0.561,Personal Travel,0,0,97,Eco,2/27/2014,OU,21,15,25,No,149,967,2,-104.9551,39.7108,-122.1585,37.6712,CA,CO,over 54
327,Miami,Orlando,Platinum,73,Male,1,2007,24,-0.4118,Business travel,0,30,60,Business,3/25/2014,AA,14,0,0,No,41,192,7,-81.4112,28.5844,-80.2314,26.1756,FL,FL,over 54
328,Baltimore,Rochester,Platinum,57,Female,2,2011,27,-0.6364,Business travel,0,20,60,Eco,3/17/2014,WN,18,79,71,No,50,277,9,-77.5682,43.1376,-76.6478,39.2341,MD,NY,over 54
335,Philadelphia,Chicago,Blue,85,Female,2,2012,44,-0.76,Personal Travel,0,0,180,Eco,1/25/2014,US,18,3,17,No,89,678,2,-87.8954,41.8271,-75.2984,39.9733,PA,IL,over 54
341,Tampa,Washington,Blue,77,Male,1,2005,28,-0.697,Personal Travel,0,0,15,Eco,2/25/2014,US,8,0,51,No,129,814,3,-77.1897,38.8974,-82.5132,28.0062,FL,DC,over 54
342,Miami,Los Angeles,Blue,69,Male,3,2007,7,-0.75,Business travel,0,300,30,Eco,1/12/2014,AA,7,0,0,No,260,2342,9,-118.1043,33.9827,-80.2314,26.1756,FL,CA,over 54
348,Phoenix,Denver,Blue,80,Female,2,2011,28,-0.6,Personal Travel,0,90,195,Eco,3/3/2014,US,14,0,0,No,84,602,6,-104.9551,39.7108,-111.97,33.4941,AZ,CO,over 54
351,Chicago,New York,Blue,70,Female,1,2012,11,-0.6923,Mileage tickets,0,0,115,Eco Plus,3/19/2014,OU,18,11,4,No,126,733,10,-73.9702,40.7184,-87.8954,41.8271,IL,NY,over 54
352,Detroit,Washington,Blue,62,Female,1,2010,14,-0.2174,Business travel,0,6,25,Eco,2/10/2014,DL,9,5,7,No,73,405,4,-77.1897,38.8974,-83.2276,42.49,MI,DC,over 54
353,Boston,San Juan,Blue,85,Female,1,2011,46,-0.9167,Personal Travel,0,80,0,Eco Plus,1/4/2014,B6,3,56,53,No,220,1674,3,-66.1162,18.2882,-71.1407,42.3731,MA,PR,over 54
355,Atlanta,Milwaukee,Blue,62,Male,1,2004,21,-0.5556,Personal Travel,0,0,195,Eco,3/11/2014,DL,10,0,0,No,92,669,3,-88.1005,43.0557,-84.3319,33.8241,GA,WI,over 54
356,Las Vegas,Milwaukee,Gold,66,Male,1,2012,7,0,Business travel,0,0,25,Eco,2/28/2014,WN,15,84,114,No,236,1524,9,-88.1005,43.0557,-115.1672,36.1349,NV,WI,over 54
357,Denver,Salt Lake City,Blue,59,Male,1,2012,0,1,Business travel,1,0,85,Eco,2/6/2014,WN,11,8,0,No,54,391,9,-111.9295,40.6408,-104.9551,39.7108,CO,UT,over 54
359,San Jose,Los Angeles,Silver,54,Female,1,2007,21,-0.4483,Personal Travel,0,120,30,Eco,3/5/2014,WN,8,0,3,No,55,308,9,-118.1043,33.9827,-121.9451,37.3298,CA,CA,over 54
360,Salt Lake City,Phoenix,Blue,80,Female,1,2009,10,-0.1765,Personal Travel,0,0,40,Eco,2/25/2014,US,8,0,0,No,73,507,6,-111.97,33.4941,-111.9295,40.6408,UT,AZ,over 54
361,Orlando,Memphis,Blue,71,Male,2,2008,32,-0.8286,Business travel,0,30,80,Eco,2/1/2014,WN,10,3,0,No,90,684,5,-89.9179,35.0951,-81.4112,28.5844,FL,TN,over 54
366,San Jose,Las Vegas,Blue,78,Female,1,2012,29,-0.7059,Personal Travel,0,90,105,Eco,1/5/2014,WN,10,0,0,No,57,386,3,-115.1672,36.1349,-121.9451,37.3298,CA,NV,over 54
367,Jacksonville,Atlanta,Blue,67,Male,2,2003,46,-0.9574,Personal Travel,0,0,120,Eco,2/4/2014,FL,14,51,50,No,42,270,4,-84.3319,33.8241,-81.6427,30.2401,FL,GA,over 54
368,San Juan,New York,Blue,74,Male,1,2012,21,-0.4483,Personal Travel,0,0,255,Eco,3/28/2014,B6,18,120,97,No,182,1598,3,-73.9702,40.7184,-66.1162,18.2882,PR,NY,over 54
369,Washington,Tampa,Blue,58,Male,1,2003,21,-0.6154,Business travel,0,0,30,Eco,3/3/2014,US,14,NA,NA,Yes,0,814,9,-82.5132,28.0062,-77.1897,38.8974,DC,FL,over 54
373,New York,Orlando,Blue,63,Female,1,2004,5,-0.25,Personal Travel,0,210,100,Eco,3/16/2014,B6,17,33,20,No,125,944,5,-81.4112,28.5844,-73.9702,40.7184,NY,FL,over 54
375,Portland,Baltimore,Silver,80,Female,1,2005,32,-0.6842,Personal Travel,0,0,140,Eco Plus,3/5/2014,WN,21,30,22,No,68,452,7,-76.6478,39.2341,-70.3219,43.6637,ME,MD,over 54
380,Atlanta,Orlando,Silver,58,Male,1,2010,6,-0.5,Business travel,0,0,129,Business,3/15/2014,FL,13,21,19,No,68,404,10,-81.4112,28.5844,-84.3319,33.8241,GA,FL,over 54
